Course Code,Course Title,Credit,Year,Department
211001,HISTORY AND CULTURE OF BANGLADESH AND BENGALEES (FROM ANCIENTS TO 2000 AD),4,1st,10 - Bengali
211003,HISTORY OF BANGLA LANGUAGE AND FUNCTIONAL BANGLA,4,1st,10 - Bengali
211005,BANGLA POETRY-1,4,1st,10 - Bengali
211007,BANGLA NOVEL-1,4,1st,10 - Bengali
211501,HISTORY OF THE EMERGENCE OF INDEPENDENT BANGLADESH,4,1st,10 - Bengali
212111,INTRODUCTION TO SOCIAL WORK,4,1st,10 - Bengali
221109,ENGLISH (COMPULSORY),0,2nd,10 - Bengali
221001,HISTORY OF BENGALI LITERATURE -1 (ANCIENTS AND MEDIEVAL),4,2nd,10 - Bengali
221003,POETRY OF MEDIEVAL AGE,4,2nd,10 - Bengali
221005,BENGALI POETRY -2,4,2nd,10 - Bengali
221007,BENGALI DRAMA -1,4,2nd,10 - Bengali
221909,POLITICAL ORGANIZATION AND THE POLITICAL SYSTEM OF UK AND USA,4,2nd,10 - Bengali
222009,SOCIOLOGY OF BANGLADESH,4,2nd,10 - Bengali
231001,"HISTORY OF BANGLA LITERATURE-II, FIRST PART OF MODERN AGE (1801-1947)",4,3rd,10 - Bengali
231003,POETRY OF ANCIENT AND MEDIEVAL AGE,4,3rd,10 - Bengali
231005,BANGLA SHORT STORY-I,4,3rd,10 - Bengali
231007,THEORY OF FOLKLOR AND BANGLA FOLK LITERATURE,4,3rd,10 - Bengali
231009,"LITERARY FORMS, LITERARY PRINCIPLES (THEORY RASA), ORNAMENTATION, RHYTHM",4,3rd,10 - Bengali
231011,BANGLA PROSE-I,4,3rd,10 - Bengali
231013,BANGLA COMEDY AND LITERATURE OF TRAVELING,4,3rd,10 - Bengali
231015,BANGLA NOVEL-2,4,3rd,10 - Bengali
231001,"HISTORY OF BANGLA LITERATURE-II, FIRST PART OF MODERN AGE (1801-1947)",4,4th,10 - Bengali
231003,POETRY OF ANCIENT AND MEDIEVAL AGE,4,4th,10 - Bengali
231005,BANGLA SHORT STORY-I,4,4th,10 - Bengali
231007,THEORY OF FOLKLOR AND BANGLA FOLK LITERATURE,4,4th,10 - Bengali
231009,"LITERARY FORMS, LITERARY PRINCIPLES (THEORY RASA), ORNAMENTATION, RHYTHM",4,4th,10 - Bengali
231011,BANGLA PROSE-I,4,4th,10 - Bengali
231013,BANGLA COMEDY AND LITERATURE OF TRAVELING,4,4th,10 - Bengali
231015,BANGLA NOVEL-2,4, 4th,10 - Bengali
