sl,department ,establish,phone,email,diraction,maps,fb
1,10 - Bengali,1971,০২৪৭৮৮৬৫৯৫১,bmcollegebangla@gmail.com,"বিএম কলেজের মসজিদ গেট দিয়ে প্রবেশ করে , জিরো পয়েন্ট আসবেন। জিরো পয়েন্টের ডান দিকে বাকসু ভবন দেখা যায়, ঐ দিকে যাবেন, বাকসু ভবনের ডান পাশে কলা ভবন তিন এর ২য় তলায় বাংলা বিভাগ। ",https://maps.app.goo.gl/YHnoPSey2vtmQBnD9,
2,11 - English,1983,2878865947,deptofenglish1922@gmail.com,মজিদ গেট দিয়ে প্রবেশ করে জিরো পয়েন্টের আগ মুহূর্তে কলা ভবন ১ দেখা যায়. কলা ভবনে ১ এর দ্বিতীয় তলায় ইংরেজি ডিপার্টমেন্ট।,https://maps.app.goo.gl/jQ98ZS9j2iqeYPFZ8,
3,13 - Sanskrit,,,,,https://maps.app.goo.gl/wz4V8dZMxh37ASQSA,
4,15 - History,,,,,https://maps.app.goo.gl/HqD4eKtcJUhPggrG9,
5,16 - Islamic History and Culture,,,,,https://maps.app.goo.gl/PozsqoKRtg3HkoFL9,
6,17 - Philosophy,,,,,https://maps.app.goo.gl/jRKHeVfAGh5B1p9aA,
7,18 - Islamic Studies,,,,,https://maps.app.goo.gl/wz4V8dZMxh37ASQSA,
8,19 - Political Science,,,,,https://maps.app.goo.gl/HqD4eKtcJUhPggrG9,
9,20 - Sociology,,,,,,
10,21 - Social Work,,,,,,
11,22 - Economics,,,,,https://maps.app.goo.gl/9qFcAcyLw3r8jerA9,
12,23 - Marketing,,,,,https://maps.app.goo.gl/4THNbeBpkECVoMMi6,
13,24 - Finance & Banking,,,,,https://maps.app.goo.gl/wz4V8dZMxh37ASQSA,
14,25 - Accounting,,,,,,
15,26 - Management,,,,,,
16,27 - Physics,,,,,https://maps.app.goo.gl/C4PvR8fgjGsyb8pH7,
17,28 - Chemistry,,,,,https://maps.app.goo.gl/mFrZxHo4u9e4uTnA8,
18,30 - Botany,,,,,https://maps.app.goo.gl/FHBvbZSgBbt1Faqx9,
19,31 - Zoology,,,,,https://maps.app.goo.gl/5884otXMCRGVMrre9,
20,33 - Soil Science,,,,,https://maps.app.goo.gl/LANYAPq7WcjWMxqKA,
21,36 - Statistics,,,,,https://maps.app.goo.gl/5884otXMCRGVMrre9,
22,38 - Mathematics,,,,,https://maps.app.goo.gl/1Fts8kjARcBxEMpr8,
