building ,room,subject ,college,rollRange,TotalInCollege,reference,maps
কলা ভবন ১,101,বাংলা ,ইসলামিয়া কলেজ,4066603-4066619,17,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ১,101,বাংলা ,বরিশাল সরকারি মহিলা কলেজ,4066715-4066739,25,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ১,102,বাংলা ,বরিশাল সরকারি মহিলা কলেজ,4066740-4066781,42,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ১,201,বাংলা ,বরিশাল সরকারি মহিলা কলেজ,4066782-4066820,39,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ১,201,বাংলা ,বরিশাল সরকারি কলেজ,4068611-4068631,21,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ১,202,বাংলা ,বরিশাল সরকারি কলেজ,4068632-4068639,8,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ১,202,বাংলা ,সরকারি সৈয়দ হাতেম আলী কলেজ,4070037-4070072,36,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ১,301,বাংলা ,সরকারি সৈয়দ হাতেম আলী কলেজ,4070073-4070116,44,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ১,302,বাংলা ,সরকারি সৈয়দ হাতেম আলী কলেজ,4070117-4070130,14,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ১,302,বাংলা ,উজিরপুর মহিলা কলেজ,4074259-4074261,3,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ১,302,বাংলা ,সরকারি স্বরূপকাঠি কলেজ,4076432-4076458,27,https://i.postimg.cc/hG5x6fQS/Screenshot-2025-08-23-215549.png,https://maps.app.goo.gl/VG521nbFMPpaxF6H9
কলা ভবন ২,102,বাংলা ,সরকারি স্বরূপকাঠি কলেজ,4076459-4076468,10,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,102,ইংরেজি ,সৈয়দ বজলুল হক কলেজ,4066589,1,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,102,ইংরেজি ,বরিশাল সরকারি মহিলা কলেজ,4066924-4066990,67,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,103,ইংরেজি ,বরিশাল সরকারি মহিলা কলেজ,4066991-4067001,11,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,103,ইংরেজি ,বরিশাল সরকারি কলেজ,4068728-4068756,29,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,201,ইংরেজি ,বরিশাল সরকারি কলেজ,4068757-4068808,52,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,201,ইংরেজি ,সরকারি সৈয়দ হাতেম আলী কলেজ,4070217-4070224,8,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,301,ইংরেজি ,সরকারি সৈয়দ হাতেম আলী কলেজ,4070225-4070289,65,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,302,ইংরেজি ,সরকারি সৈয়দ হাতেম আলী কলেজ,4070290-4070293,4,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,302,ইংরেজি ,সরকারি পাতারহাট আরসি কলেজ,4072478-4072480,3,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,302,ইংরেজি ,সরকারি হিজলা কলেজ,4073814-4073827,14,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ২,302,ইংরেজি ,সরকারি স্বরূপকাঠি কলেজ,4076506-4076532,27,https://i.postimg.cc/GhFFtLVQ/image.png,https://maps.app.goo.gl/iJbaLRBgQL9zueFn7
কলা ভবন ৩,101,ইংরেজি ,সরকারি স্বরূপকাঠি কলেজ,4076533-4076546,14,https://i.postimg.cc/G24Pmkn8/image.png,https://maps.app.goo.gl/rQ2oL5w2L6YvRDAa7
